Names,Underlying theory (symbolic  connectionist  or hybrid),Achievements,Estimated requirements,Nonlaboratory usages,Activity status (active or dead  RSS news),Year of creation,Related publications,License (if applies  for example GPL)
4CAPS,?,?,?,?,?,?,?,[empty]
ACTR,hybrid [1],?,?,?,active,?,Anderson  2007,[empty]
ASMO,hybrid,Many robotic systems,?,IBM internetofthings system,active,2009,Novianto  Johnston and Williams 2010,[empty]
CHREST,symbolic,?,?,?,active,1992 [2],?,[empty]
CLARION,hybrid [1],?,?,?,active,?,Sun  2002,[empty]
Copycat,?,?,?,?,?,?,?,[empty]
Deeplearning4j,hybrid,online learning  anomaly detection  image recognition,?,?,active,Josh Patterson & Adam Gibson (2017),Apache 20,[empty]
DUAL,hybrid,?,?,?,?,?,?,[empty]
EPAM,?,?,?,?,?,1959 [2],?,[empty]
EPIC,?,?,?,?,?,?,?,[empty]
GLAIR,symbolic,?,?,?,active,?,Bona and Shapiro  2009,?
Hierarchical Temporal Memory,connectionist,online learning  anomaly detection,?,anomaly detection,active,2009,Hawkins et al (multiple),AGPL
LIDA,symbolic,?,?,?,?,?,?,[empty]
MAMID,?,?,?,?,?,?,Hudlicka  2002; 2003,?
Mibe architecture,?,?,?,?,?,1998,?,[empty]
OpenCog,hybrid,chatbot  game avatar,?,misc subsystems in commercial  financial  medical,active,2001,Goertzel et al (multiple),AGPL
Parallel terraced scan,?,?,?,?,?,?,?,[empty]
Procedural Reasoning System,?,?,?,?,?,?,?,[empty]
RCAST,?,?,?,?,?,?,?,[empty]
Soar,symbolic [1],?,?,yes,active,1983,Laird (2012),[empty]
Sigma,Hybrid,Ray Kurzweil Awards at AGI 2011 and 2012,?,not yet,active,2009,Rosenbloom  Demski  Ustun (2016),BSD 2 clause
SOSIEL,Symbolic,[empty],Net Core,policy analysis,active,2018,Sotnik (2018),open source
TinyCog,symbolic,?,?,?,active,2015,Bergmann and Fenton  2015,GPL V3
