Name,Developer(s),Operating system(s),License,Price,WWW,Notes
Panoweaver Standard / Professional,Easypano Holdings Inc.,Windows XP/7/8; Mac OS X 10.4 or later,Proprietary,Standard: $99 / Professional: $299,easypano.com,Branding free  trial version works will be watermarked.
WidsMob Panorama,WidsMob Technology Ltd.,Mac OS X 10.8 or later,Proprietary,$19.99,widsmob.com,Branding free  trial version works will be watermarked.
i2Align Quickage Express / Pro,DualAlign LLC,Windows XP or Vista; Mac OS X 10.2 or higher,Proprietary,Express: $50 / Pro: $100,i2Align.com,Express is limited to four images per panorama
Pixtra OmniStitcher,Pixtra Corp.,Windows 95 or later,Proprietary,$49,Pixtra.com,Designed for 360x180 degree omniramas.
Pixtra PanoStitcher,Pixtra Corp.,Windows 95 or later,Proprietary,$30,Pixtra.com,Includes virtual tool authoring package.
QuickPHOTO,PROMICRA,Windows 7 or later,Proprietary,[empty],promicra.com,Stitching together fields of view from microscope.
Dermandar,Dermandar,Browser based (Adobe Flash player required)  Apple iOS4,Proprietary,Free,Dermandar.com,Panoramas are uploaded on the Dermandar server and they can be viewed with the provided Flash viewer.
PhotoFit Harmony / Premium,Tekmate  Inc.,Windows 98 or later,Proprietary,Harmony: $52 / Premium: $277,PhotoFit4Panorama.com,Premium has bigger output size limits (12 vs. 1200 Mpix) and more output projections.
PanoramaPlus X4,Serif (Europe) Ltd.,Windows XP or later,Proprietary,£20,Serif.com,Video input.
PanoramaBuilder 7.0 / PanoramaBuilder 7.0 Pro,3cim  Inc.,Windows ??,Proprietary,$199 / Pro: $499 + annual $199,PanoBuilder.com,Price incl. hosting for virtual tours.
Pixloo VT Builder,Pixloo,Windows and Mac,Proprietary,$9 Month,Pixloo,Unlimited hosting of virtual tours.
360 Panorama Professional,360 Degrees of Freedom,Windows only,Proprietary,$99,360dof.com,Includes virtual tool authoring package.
VRstitcher Fisheye Pro,360 Degrees of Freedom,Windows only,Proprietary,$499,360dof.com,Includes virtual tool authoring package. specifically designed for fisheye lenses.
COOL 360,Ulead / Corel Corp.,Windows  up to XP only,Proprietary,$40,Corel.com,Support discontinued.
The Panorama Factory v5,Smoky City Design  LLC,Windows 98 or later; Mac OS X 10.3.9 or later,Proprietary,$80,panoramafactory.com,[empty]
PixMaker Lite / Home / Business,[empty],Windows 95 or later,Proprietary,Lite: Free / Home: $20 / Business: $349,Singnet.com,[empty]
PTAssembler,Max Lyons,Windows only,Proprietary,$49 / $299,Tawbaware.com,Based on Panorama Tools
PTgui / PTgui Pro,New House Internet Services BV,Windows; Mac OS X,Proprietary,€79 (personal) / €180 (company); Pro: €149 (personal / €349 (company) (+taxes),ptgui.com,Based on Panorama Tools.
Autopano Pro / Giga / Server,Kolor,Windows 2000 or later; Mac OS X 10.5 or later with Intel processor; Linux 2.6 or later,Proprietary,Ceased trading September 2018,www.kolor.com,Free trial version (watermarked)
Autostitch,Matthew Brown & David Lowe,Windows; Mac OS X; Android 4.0.3 and up<ref></ref>,Proprietary,Time limited demo only,Autostitch home page,[empty]
Calico Panorama,Kekus,Mac only,Proprietary,$39,kekus.com,Based on Autostitch.
Hugin,Pablo d'Angelo et al.,Windows  Mac  Linux  FreeBSD,GPL,Free,hugin.sf.net,Based on Panorama Tools.
Stitcher 4,3DVista,Windows & Mac,Proprietary,€99,https://web.archive.org/web/20080805001922/http://www.3dvista.com/,[empty]
D Joiner,D Vision Works  Ltd.,Windows 95 or later,Proprietary,£300,d-vw.com,[empty]
Panorama Maker 6,Arcsoft  Inc.,Windows XP/Vista/7; Mac OS X,Proprietary,$79.99,arcsoft.com,Video input  3D output
Photovista Panorama,iseemedia  inc.,Windows 98 SE or later; Mac OS 9.1 or later,Proprietary,$250,iseephotovista.com,[empty]
PanoramaStudio / Pro,Tobias Hüllmandel Software,Windows 2000 or later,Proprietary,€35/€70,tshsoft.de,RAW file support. Multirow stitching only with Pro version.
Stitcher Unlimited 2009,Autodesk,Windows Vista SP2 or later; Mac OS X 10.4.10 or later,Proprietary,$400,autodesk.com,Export to Flash  VRML  QTVR.
ADG Panorama Tools / Pro,Albatross Design Group,Windows 95 or later,Proprietary,$40 / $99,albatrossdesign.com,Pro version has ability to create hot spots for virtual tours.
Panorama Composer 3,FirmTools,Windows 95 or later,Proprietary,$30,Panorama.FirmTools.com,Includes Flash  ActiveX and Java based viewers for web.
Image Composite Editor,Microsoft,Windows Vista SP2 or later,Proprietary,Free for non-commercial use,research.microsoft.com,Video input (Windows 7+)
Panorama Perfect,Michal Pohanka,Windows 2000 or later,Proprietary,$29,volny.cz,[empty]
Photoshop CS5,Adobe Systems,Windows; Mac OS X,Proprietary,$699<ref>What is Photoshop?</ref>,adobe.com,[empty]
Photoshop CS6,Adobe Systems,Windows; Mac OS X,Proprietary,$699<ref>What is Photoshop?</ref>,adobe.com,Can do auto stitching
AIPR Lite 1,Mayachitra  Inc.,Windows*; Mac OS X 10.6+*,Proprietary,$29.95,AIPR Lite,(*) both 32 and 64 bit versions available.
Gigapan Stitch 1.0,Gigapan Systems,Windows; Mac OS X 10.4 or later,Proprietary,$79,Gigapan Stitch 1.0,Assumes images form approximate grid. Works well on large numbers of images ( hundreds  thousands )
PanoramaMaker,STOIK Imaging,Windows; Mac OS X,Proprietary,€39,STOIK.com,Requires all images to be the same size
Montage Image Mosaic,Caltech/IPAC  JPL  CACR  ISI,Unix,3-Clause BSD,Free,official Web site,Produces science-grade mosaics for astronomical research
Panorama Stitcher,Alexander Boltnev  Olga Kacher,Mac OS X,Proprietary,$15,Panorama Stitcher,Automatic stitching  exposure leveling. Interactive projection editor.
PhotoStitcher,Maxim Gapchenko,Windows; Mac OS X,Proprietary,$19.99,www.photostitcher.com,Stitch panoramic images in one click without any preferences
SharpStitch,Libor Tinka,Windows,Proprietary,Full: $995.00; Source code: $4995.00,www.imagingshop.com,Image alignment and stitching library for .NET
StitchUp,Michel Mürner,Mac OS X,Proprietary,$6.99,www.stitchup.ch,[empty]
Pano2VR / Pano2VR pro,Garden Gnome Software,Windows; Mac OS X; Linux,Proprietary,regular: €99; pro: €299 (+taxes),ggnome.com/pano2vr,Free trial version (watermarked)
Lapentor,Starfruit JSC,Windows; Mac OS X; Linux,Proprietary,$15,http://lapentor.com/,Create beautiful & professional Virtual Tour
Name,Developer(s),Operating system(s),License,Price,WWW,Notes
Name,HDR input (EXR  HDR  Logluv  etc.),Merging to HDR from LDR images,HDR output (EXR  HDR  Logluv  etc.),Tonemapping,Exposure fusion,Notes
Panoweaver Standard / Professional<ref>Panoweaver features page</ref>,[empty],[empty],[empty],[empty],[empty],[empty]
