Name,Programming language  toolkit,Operating system,License,Integration,Languages,Network protocols,Current version,Last release date,Server functionality,Visualization
AnkhSVN,C#  SharpSvn,Microsoft Windows,Apache License,Microsoft Visual Studio (all editions except Express),English,http  https  svn  svnssh  file,2612735,dts|2016|10|05|format=hidestart date and age|2016|10|05|br=yes,No,Diff  blame  history  properties
Cornerstone,Xcode,macOS,Proprietary  free trials available,Standalone GUI,English,http  https  svn  svnssh  file,31,dts|2018|2|8|format=hidestart date and age|2018|2|8|br=yes,No,Diff  blame  history  properties
CODESYS SVN,C#  SharpSvn,Microsoft Windows,proprietary  trials can be negotiated,SVN plugin for CODESYS V3,English  German,http  https  svn  svnssh  file,V4102 (based on SVN 194),dts|2016|11|3|format=hidestart date and age|2016|11|3|br=yes,No,Diff  merge  log
eSvn,C  Qt,Unixlike operating systems (GNU/Linux distributions  FreeBSD  Sun Solaris and others)  nowrap|Mac OS X and Windows,GPL,GUI  standalone (like WinCVS  Cervisia),English,http  svn,0612,dts|2007|07|16|format=hideFor *nix OSs start date and age|2007|07|16|br=yes[3] For Windows start date and age|2007|07|12|br=yes[4],No,dunno
kdesvn,C  Qt,Linux  Unix  nowrap|Mac OS X,GPL,Konqueror  Dolphin  standalone,English,file  http  https  (k)svn  (k)svnfile  (k)svnhttp  (k)svnhttps  (k)svnssh,200,dts|2016|12|04|format=hidestart date and age|2016|12|04|br=yes[5],Yes,dunno
PixelNovel Timeline,C,nowrap|Mac OS X  Microsoft Windows,Free if used with PixelNovel web storage  30day trial with commercial upgrade otherwise,Adobe Photoshop,English,svn,10,dts|2009|07|07|format=hidestart date and age|2009|07|07|br=yes[6][7],dunno,dunno
QSvn,C  Qt,Linux  Unix  nowrap|Mac OS X  Microsoft Windows,GPL,GUI  standalone (like WinCVS),English,[empty],083,dts|2009|07|26|format=hidestart date and age|2009|07|26|br=yes,No,dunno
RabbitVCS,Python  GTK,Linux,GPL,Nautilus  Thunar  Gedit  CLI,ca  cs  de  en  es  fa  fr  he  hr  it  ja  nb  nl  pl  pt  ro  ru  sk  sl  sv  zh_CN,http  https  svn  svnssh  file,017 [8],dts|2017|06|23|format=hidestart date and age|2017|06|23|br=yes[9],dunno,dunno
RapidSVN,C  wxWidgets,Linux  Unix  nowrap|Mac OS X  Microsoft Windows  Solaris  many more,GPL,GUI  standalone,Unicode  many,[empty],0121,dts|2012|06|28|format=hidestart date and age|2012|06|28|br=yes,No,External
SubTile,XUL  Javascript,Linux  Unix  nowrap|Mac OS X  Microsoft Windows (Any with Xulrunner or Firefox),GPL  Mozilla Public License  Apache License,GUI  standalone,English,http  https  svn  svnssh,02,dts|2016|05|03|format=hidestart date and age|2016|05|03|br=yes[10],No,Diff  merge  revision graph
SVN Notifier,C#,Microsoft Windows,GPL,GUI  standalone It needs TortoiseSVN installed,English,http  https  svn  svnssh  file,193,dts|2012|06|25|format=hidestart date and age|2012|06|25|br=yes[11],dunno,dunno
TortoiseSVN,C  MFC,Microsoft Windows (32/64bit),GPL,Windows Shell (Explorer),54 languages (including en),http  https  svn  svnssh  file  svnXXX,1120,dts|2017|08|10|format=hideStart date and age|2019|04|25|br=yes,yes,Diff  merge  Revision Tree  blame
Trac,Python,Linux  Unix  nowrap|Mac OS X  Microsoft Windows,Modified BSD,webbased,[31 languages][3],file,124[12],dts|2019|07|17|format=hidestart date and age|2019|07|17|br=yes[13],yes,Log
Version Control for engineers,,Windows,freeware,GUI  standalone,English,http  https  svn  file,020,dts|2016|11|10|format=hidestart date and age|2016|11|10|br=yes[14],No,Internal image diff  external diff  diff for MS Word doc  MS Visio VSD drawings  DWG and DXF drawings  Kompas CDW  commit logging
ViewVC,Python,http  https,"twoclause Berkeleystyle",webbased,English,http  https  svn  svnssh  file,1123,dts|2014|11|04|format=hidestart date and age|2014|11|04|br=yes[15],dunno,Diff  annotation  blame  revision graph
VisualSVN,[empty],Microsoft Windows (32/64bit),proprietary,Microsoft Visual Studio (all editions except Express),English,http  https  svn  svnssh  file,712,dts|2019|07|31|format=hidestart date and age|2019|07|31|br=yes[16],yes,dunno
Xcode,ObjectiveC  Cocoa,nowrap|Mac OS X,Proprietary  free on Mac App Store,Xcode IDE,English,[empty],501 (4H127),dts|2013|10|22|format=hidestart date and age|2013|10|22|br=yes,dunno,dunno
