Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch,Plasma Mobile,PureOS,PostmarketOS,KaiOS
Developed by,Google  Open Handset Alliance,Apple Inc,Microsoft,BlackBerry Ltd,Linux Foundation  Tizen Association  Samsung  Intel,Sailfish Alliance  Mer  Jolla and Sailfish community contributors,UBports and Ubuntu community contributors (previously Canonical Ltd),KDE and Blue Systems,Purism,PostmarketOS community,KaiOS Technologies Inc  Google[1][2]
Market share[3],861%,137%,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,N/A,?
Current version,10,132,10015254552,10333216,4004,32012,1604 OTA11,5164,90,beta|alpha,260
Development version,Android 10,131 Developer Beta 4,Unknown,Unknown,55 M1,Unknown,Unknown,Unknown,Unknown,N/A,[empty]
Current version release dates,Start date and age|2019|09|03,Start date and age|2019|09|19,Start date and age|2019|02|12|[4][5][6],Start date and age|2018|04|04,Start date and age|2018|11|16,Start date and age|2019|11|06[7],Start date and age|2019|10|23|[8],Start date and age|2019|07|30[9],Start date and age|2019|09|26|df=yes[10],[empty],[empty]
License,partial|Base system is Free and opensource  but usually bundled with proprietary apps and drivers  which provide an increasing amount of the functionality[11],Proprietary,partial|Proprietary except for open source components,Proprietary  Commercial software,Partial; both proprietary and opensource components  assorted licenses,partial|Free and opensource  but the UI and the SDK are proprietary and closed source,free|Free and opensource  mainly the GPL[12],free|Free and opensource  mainly the GPL,free|Free and opensource  mainly the GPL,free|Free and opensource  GPL,Proprietary except for open source kernel patches (formerly the MPL 20 B2G OS)
OS family,Linux kernel based,Darwin,Microsoft Windows,QNX,Linux,Linux,Linux,Linux,Linux (based on Debian),Linux (based on Alpine Linux),Unixbased
Supported CPU architecture,ARM (32bit ARMv7A and 64bit ARMv8A only)  x86  x8664[13],64bit ARMv8A only,32bit ARMv7A and 32bit ARMv8A,ARM,ARM  x86  x8664,ARM  x8664,ARM  x8664,ARM  ?,Convergence operating system,ARM  ARM64  x86  x8664,ARM
Programmed in,C  C  Java  Kotlin,C  C  ObjectiveC  Swift,7 XNA (NET C#)  Silverlight  native C/C (only for vendors and partners[14]) 8 NET C#  VBNET  Silverlight  native C/C  WinRTP (XMLA)  DirectX,C/ C Native SDK  C/Qt Cascades SDK  HTML5/Javascript/CSS Webworks SDK  ActionScript Adobe AIR  Java Android runtime,C  XamarinForms (NET C#  F#  VB[15]),C  QML  Python,Apps HTML5  QML  Go  JavaScript  C System C  C  QML,C  QML,[empty],Python install tool and shell script packages,[empty]
Public issues list,Yes[16],No2 3rd party[17],No[18],Yes[19],Yes[20],Yes[21],Yes[22],Yes[23],Yes[24],Yes[25],NoCitation needed|date=August 2019
DRMfree[26],No[27] since Android 41[28] and Android 43[29] and more restrictions on Android 44[30],No €“ FairPlay,No,No[31],Yes,Yes,Yes,YesCitation needed|date=August 2019,YesCitation needed|date=August 2019,Yes,?
Device independent system updates,Okay|Partial system updates since Oreo[32] 3rd party software like LineageOS[33],Yes[34],Okay|Partial on Enterprice edition Only for developers,No,No,Yes,Yes[35],[empty],[empty],Yes[36] Intended for use on old mobile devices,For feature phones  not smart phones
Wireless system updates,Yes,Yes|5[37],Yes|8[38],Yes[39],No,Yes,Yes,[empty],[empty],[empty],[empty]
GPU accelerated GUI,Yes|3[40],Yes,Yes[41],Yes  OS 70,?,Yes,Yes,[empty],[empty],[empty],[empty]
Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch,Plasma Mobile,PureOS,PostmarketOS,KaiOS
