Name,Developer(s),Operating system(s),License,Price,WWW,Notes
Panoweaver Standard / Professional,Easypano Holdings Inc,Windows XP/7/8; Mac OS X 104 or later,Proprietary,Standard $99 / Professional $299,easypanocom,Branding free  trial version works will be watermarked
WidsMob Panorama,WidsMob Technology Ltd,Mac OS X 108 or later,Proprietary,$1999,widsmobcom,Branding free  trial version works will be watermarked
i2Align Quickage Express / Pro,DualAlign LLC,Windows XP or Vista; Mac OS X 102 or higher,Proprietary,Express $50 / Pro $100,i2Aligncom,Express is limited to four images per panorama
Pixtra OmniStitcher,Pixtra Corp,Windows 95 or later,Proprietary,$49,Pixtracom,Designed for 360x180 degree omniramas
Pixtra PanoStitcher,Pixtra Corp,Windows 95 or later,Proprietary,$30,Pixtracom,Includes virtual tool authoring package
QuickPHOTO,PROMICRA,Windows 7 or later,Proprietary,[empty],promicracom,Stitching together fields of view from microscope
Dermandar,Dermandar,Browser based (Adobe Flash player required)  Apple iOS4,Proprietary,Free,Dermandarcom,Panoramas are uploaded on the Dermandar server and they can be viewed with the provided Flash viewer
PhotoFit Harmony / Premium,Tekmate  Inc,Windows 98 or later,Proprietary,Harmony $52 / Premium $277,PhotoFit4Panoramacom,Premium has bigger output size limits (12 vs 1200 Mpix) and more output projections
PanoramaPlus X4,Serif (Europe) Ltd,Windows XP or later,Proprietary,£20,Serifcom,Video input
PanoramaBuilder 70 / PanoramaBuilder 70 Pro,3cim  Inc,Windows ??,Proprietary,$199 / Pro $499  annual $199,PanoBuildercom,Price incl hosting for virtual tours
Pixloo VT Builder,Pixloo,Windows and Mac,Proprietary,$9 Month,Pixloo,Unlimited hosting of virtual tours
360 Panorama Professional,360 Degrees of Freedom,Windows only,Proprietary,$99,360dofcom,Includes virtual tool authoring package
VRstitcher Fisheye Pro,360 Degrees of Freedom,Windows only,Proprietary,$499,360dofcom,Includes virtual tool authoring package specifically designed for fisheye lenses
COOL 360,Ulead / Corel Corp,Windows  up to XP only,Proprietary,$40,Corelcom,Support discontinued
The Panorama Factory v5,Smoky City Design  LLC,Windows 98 or later; Mac OS X 1039 or later,Proprietary,$80,panoramafactorycom,[empty]
PixMaker Lite / Home / Business,dunno,Windows 95 or later,Proprietary,Lite Free / Home $20 / Business $349,Singnetcom,[empty]
PTAssembler,Max Lyons,Windows only,Proprietary,$49 / $299,Tawbawarecom,Based on Panorama Tools
PTgui / PTgui Pro,New House Internet Services BV,Windows; Mac OS X,Proprietary,‚¬79 (personal) / ‚¬180 (company); Pro ‚¬149 (personal / ‚¬349 (company) (taxes),ptguicom,Based on Panorama Tools
Autopano Pro / Giga / Server,Kolor,Windows 2000 or later; Mac OS X 105 or later with Intel processor; Linux 26 or later,Proprietary,Ceased trading September 2018,wwwkolorcom,Free trial version (watermarked)
Autostitch,Matthew Brown & David Lowe,Windows; Mac OS X; Android 403 and up[1],Proprietary,Time limited demo only,Autostitch home page,[empty]
Calico Panorama,Kekus,Mac only,Proprietary,$39,kekuscom,Based on Autostitch
Hugin,Pablo d'Angelo et al,Windows  Mac  Linux  FreeBSD,GPL,Free,huginsfnet,Based on Panorama Tools
Stitcher 4,3DVista,Windows & Mac,Proprietary,‚¬99,[1],[empty]
D Joiner,D Vision Works  Ltd,Windows 95 or later,Proprietary,£300,dvwcom,[empty]
Panorama Maker 6,Arcsoft  Inc,Windows XP/Vista/7; Mac OS X,Proprietary,$7999,arcsoftcom,Video input  3D output
Photovista Panorama,iseemedia  inc,Windows 98 SE or later; Mac OS 91 or later,Proprietary,$250,iseephotovistacom,[empty]
PanoramaStudio / Pro,Tobias HÃ¼llmandel Software,Windows 2000 or later,Proprietary,‚¬35/‚¬70,tshsoftde,RAW file support Multirow stitching only with Pro version
Stitcher Unlimited 2009,Autodesk,Windows Vista SP2 or later; Mac OS X 10410 or later,Proprietary,$400,autodeskcom,Export to Flash  VRML  QTVR
ADG Panorama Tools / Pro,Albatross Design Group,Windows 95 or later,Proprietary,$40 / $99,albatrossdesigncom,Pro version has ability to create hot spots for virtual tours
Panorama Composer 3,FirmTools,Windows 95 or later,Proprietary,$30,PanoramaFirmToolscom,Includes Flash  ActiveX and Java based viewers for web
Image Composite Editor,Microsoft,Windows Vista SP2 or later,Proprietary,Free for noncommercial use,researchmicrosoftcom,Video input (Windows 7)
Panorama Perfect,Michal Pohanka,Windows 2000 or later,Proprietary,$29,volnycz,[empty]
Photoshop CS5,Adobe Systems,Windows; Mac OS X,Proprietary,$699[2],adobecom,[empty]
Photoshop CS6,Adobe Systems,Windows; Mac OS X,Proprietary,$699[3],adobecom,Can do auto stitching
AIPR Lite 1,Mayachitra  Inc,Windows*; Mac OS X 106*,Proprietary,$2995,AIPR Lite,(*) both 32 and 64 bit versions available
Gigapan Stitch 10,Gigapan Systems,Windows; Mac OS X 104 or later,Proprietary,$79,Gigapan Stitch 10,Assumes images form approximate grid Works well on large numbers of images ( hundreds  thousands )
PanoramaMaker,STOIK Imaging,Windows; Mac OS X,Proprietary,‚¬39,STOIKcom,Requires all images to be the same size
Montage Image Mosaic,Caltech/IPAC  JPL  CACR  ISI,Unix,3Clause BSD,Free,official Web site,Produces sciencegrade mosaics for astronomical research
Panorama Stitcher,Alexander Boltnev  Olga Kacher,Mac OS X,Proprietary,$15,Panorama Stitcher,Automatic stitching  exposure leveling Interactive projection editor
PhotoStitcher,Maxim Gapchenko,Windows; Mac OS X,Proprietary,$1999,wwwphotostitchercom,Stitch panoramic images in one click without any preferences
SharpStitch,Libor Tinka,Windows,Proprietary,Full $99500; Source code $499500,wwwimagingshopcom,Image alignment and stitching library for NET
StitchUp,Michel MÃ¼rner,Mac OS X,Proprietary,$699,wwwstitchupch,[empty]
Pano2VR / Pano2VR pro,Garden Gnome Software,Windows; Mac OS X; Linux,Proprietary,regular ‚¬99; pro ‚¬299 (taxes),ggnomecom/pano2vr,Free trial version (watermarked)
Lapentor,Starfruit JSC,Windows; Mac OS X; Linux,Proprietary,$15,http//lapentorcom/,Create beautiful & professional Virtual Tour
Name,Developer(s),Operating system(s),License,Price,WWW,Notes
