Vehicle,Origin,Manufacturer,Payload mass to  (kg),Launchesefn|group=note|Suborbital flight tests and onpad explosions are excluded  but launches failing en route to orbit are included,Date of flight
LEO,GTO,Other,Firstefn|group=note|Effective year for active rockets  planned year for rockets in development,Latest,[added]
Alpha,USA,Firefly Aerospace,nts|1000[5],[empty],nts|630 to SSO
Angara 12,RUS,Khrunichev,nts|3500[7],[empty],nts|2400 to SSO
Angara A5,RUS,Khrunichev,nts|24000[7],nts|7500 with KVTK nts|5400 with BrizM [7],[empty]
Antares 230 / 230,USA,NG Innovation,nts|8200[10],[empty],nts|3000 to SSOefn|group=note|name=500km
Ariane 5 ECA,flag|Europe,EADS Astrium,nts|21000[12],nts|10865[13]efn|group=note|Upgraded to 11115 kg by 2020[14],[empty]
Ariane 6 A62,flag|Europe,ArianeGroup,nts|10350[16]rp|45,nts|5000[16]rp|33,nts|6450 to SSO nts|3000 to HEO nts|3000 to TLI [16]rp|40€“49
Ariane 6 A64,flag|Europe,ArianeGroup,nts|21650[16]rp|46,nts|11500 [16]rp|33,nobr|nts|14900 to SSO nts|5000 to GEO nts|8400 to HEO nts|8500 to TLI [16]rp|40€“49
Atlas V 401,USA,ULA,nts|9050[19],nts|4950,nts|6670 to SSO
Atlas V 411,USA,ULA,nts|9050[19],nts|6075,nts|8495 to SSO
Atlas V 421,USA,ULA,nts|9050[19],nts|7000,nts|9050 to SSO
Atlas V 431,USA,ULA,nts|9050[19],nts|7800,nts|9050 to SSO
Atlas V 501,USA,ULA,nts|8250[19],nts|3970,nts|5945 to SSO 1500 to GEO
Atlas V 511,USA,ULA,nts|10950[19],nts|5370,nts|7820 to SSO 1750 to GEO
Atlas V 521,USA,ULA,nts|13300[19],nts|6485,nts|9585 to SSO 2760 to GEO
Atlas V 531,USA,ULA,nts|15300[19],nts|7425,nts|11160 to SSO 3250 to GEO
Atlas V 541,USA,ULA,nts|17100[19],nts|8240,nts|12435 to SSO 3730 to GEO
Atlas V 551,USA,ULA,nts|18500[19],nts|8700,nts|13550 to SSO 3960 to GEO
Atlas V 552,USA,ULA,nts|20520[20],[empty],[empty]
Atlas V N22efn|group=note|for Starliner[22],USA,ULA,nts|13000[23],[empty],[empty]
Beta,USA,Firefly Aerospace,nts|4000[25],ntsh|0abbr|TBA|To be announced,nts|3000 to SSO
Bloostar,flag|Spain,Zero 2 Infinity,nts|140[26],[empty],nts|75 to SSO[26]
Cyclone4M,UKR,Yuzhnoye Yuzhmash,nts|5000[28],nts|1000[29],nts|3350 to SSO[28]
Delta IV Heavy,USA,ULA,nts|28790[31],nts|14220,nts|23560 to polar nts|10000 to TLI nts|8000 to TMI
Electron,USA NZL,Rocket Lab,nts|225[33],[empty],nts|150 to SSO
Epsilon,JPN,IHI[35],nts|1500[36],[empty],nts|590 to SSO
ErisS,AUS SIN,Gilmour Space Technologies,nts|200[38],[empty],[empty]
ErisL,AUS SIN,Gilmour Space Technologies,nts|450[38],[empty],[empty]
Falcon 9 Full Thrust (partially reusable),USA,SpaceX,nts|16800[40]efn|name=PAFlimit|group=note,nts|5500[41]efn|group=note|GTO payload is 5550 kg when the first stage lands downrange on a drone ship (ASDS) Reduced to 3500 kg if the first stage returns to the launch site (RTLS)[42],nts|9600 to polar[43]
nobr|Falcon 9 Full Thrust (expended),USA,SpaceX,nts|22800[41]efn|name=PAFlimit|group=note|PAF structural limit 10886 kg[47],nts|6500[42]€“8300[41],nts|4020 to TMI
Falcon Heavy (partially reusable),USA,SpaceX,nts|30000[50]€“57000[51],nts|8000[41]€“10000efn|group=note|GTO payload is 8000 kg when the core firststage booster lands downrange on a drone ship (ASDS) and the side boosters return to the launch site (RTLS) Increased to 10000 kg if all boosters land on drone ships[42],[empty]
Falcon Heavy (expended),USA,SpaceX,nts|63800[41],nts|15000[42]€“26700[41],nts|16800 to TMI
GSLV Mk II,IND,ISRO,nts|5000[54],nts|2700[55]efn|group=note|GTO payload with enhanced engines  as of GSLV version 2A[56],[empty]
GSLV Mk III,IND,ISRO,nts|10000[57],nts|4000,[empty]
HIIA 202,JPN,Mitsubishi,nts|8000[60]rp|67,nts|4000[60]rp|48,nts|5100 to SSOefn|group=note|5100 kg to a 500km Sunsynchronous orbit; 3300 kg to 800 km[60]rp|64€“65 [60]rp|64€“65
HIIA 204,JPN,Mitsubishi,[empty],nts|5950[60]rp|48,[empty]
HIIB,JPN,Mitsubishi,nts|16500 (ISS)[62],nts|8000,[empty]
H3,JPN,Mitsubishi,nts|4000[64],nts|6500[62],nts|4000 to SSO[65]
Hyperbola1,CHN,iSpace,nts|300[67],[empty],[empty]
Hyperbola2,CHN,iSpace,nts|2000[67],[empty],[empty]
Jielong 1[70],CHN,CALT,[empty],[empty],nts|200 (SSO)
Kaituozhe2,CHN,CASC,nts|800[71],[empty],[empty]
Kuaizhou 1/1A,CHN,ExPace,nts|400[72],[empty],[empty]
Kuaizhou 11,CHN,ExPace,nts|1500[73],[empty],nts|1000 to SSO[74]
Kuaizhou 21,CHN,ExPace,nts|20000[76],[empty],[empty]
LauncherOne,USA,Virgin Orbit,nts|500[77],[empty],nts|300 to SSO[78]
