Language,Intended use,Imperative,Object-oriented,Functional,Procedural,Generic,Reflective,Event-driven,Other paradigm(s),Standardized?
1C:Enterprise,Application  RAD  business  general  web  mobile,Yes,[empty],Yes,Yes,Yes,Yes,Yes,Object-based  Prototype-based programming,No
ActionScript 3.0,Application  client-side  web,Yes,Yes,Yes,[empty],[empty],[empty],Yes,[empty],1996  ECMA
Ada,Application  embedded  realtime  system,Yes,Yes[2],[empty],Yes[3],Yes[4],[empty],[empty],concurrent [5] distributed [6],1983  2005  2012  ANSI  ISO  GOST 27831-88[7]
Aldor,Highly domain-specific  symbolic computing,Yes,Yes,Yes,[empty],[empty],[empty],[empty],[empty],No
ALGOL 58,Application,Yes,[empty],[empty],[empty],[empty],[empty],[empty],[empty],No
ALGOL 60,Application,Yes,[empty],[empty],[empty],[empty],[empty],[empty],[empty],1960  IFIP WG 2.1  ISO[8]
ALGOL 68,Application,Yes,[empty],[empty],[empty],[empty],[empty],[empty],concurrent,1968  IFIP WG 2.1  GOST 27974-88 [9]
Ateji PX,Parallel application,[empty],Yes,[empty],[empty],[empty],[empty],[empty],pi calculus,No
APL,Application  data processing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,array-oriented  tacit,1989  ISO
Assembly language,General,Yes,[empty],[empty],[empty],[empty],[empty],[empty],any  syntax is usually highly specific  related to the target processor,IEEE 694-1985[10]
AutoHotkey,GUI automation (macros)  highly domain-specific,Yes,Yes[11],[empty],Yes,[empty],[empty],Yes,[empty],No
AutoIt,GUI automation (macros)  highly domain-specific,Yes,[empty],[empty],Yes,[empty],[empty],Yes,[empty],No
Ballerina,Integration  agile  server-side  general,Yes,Yes,Yes,Yes,[empty],[empty],Yes,concurrent  transactional  statically and strongly typed programming  diagrammatic / visual programming,2018 De facto standard via Ballerina Language Specification[12]
Bash,Shell  scripting,Yes,[empty],[empty],Yes,[empty],[empty],[empty],[empty],No  but optionally POSIX.2 [13]
BASIC,Application  education,Yes,[empty],[empty],Yes,[empty],[empty],[empty],[empty],1983  ANSI  ISO  ECMA
BeanShell,Application  scripting,Yes,Yes,Yes,[empty],[empty],Yes,[empty],[empty],In progress  JCP[14]
BLISS,System,[empty],[empty],[empty],Yes,[empty],[empty],[empty],[empty],No
BlitzMax,Application  game,Yes,Yes,[empty],Yes,[empty],Yes,[empty],[empty],No
Boo,Application  game scripting,[empty],Yes,[empty],[empty],[empty],[empty],[empty],[empty],No
Bro,domain-specific  application,Yes,[empty],[empty],[empty],[empty],[empty],Yes,[empty],No
C,Application  system [15] general purpose  low-level operations,Yes,[empty],[empty],Yes,Yes,[empty],[empty],[empty],1989  ANSI C89  ISO C90  ISO C99  ISO C11  ISO C18[16]
C++,Application  system,Yes,Yes,Yes,Yes,Yes,[empty],[empty],[empty],1998. ISO/IEC 2003  ISO/IEC 2011 ISO/IEC 2014 ISO/IEC 2017[17]
C#,Application  RAD  business  client-side  general  server-side  web,Yes,Yes,Yes[18],Yes,Yes,Yes,Yes,structured  concurrent,2000  ECMA  ISO[19]
Clarion,General  business  web,Yes,Yes,Yes[20],[empty],[empty],[empty],[empty],[empty],Unknown
Clean,General,[empty],[empty],Yes,[empty],Yes,[empty],[empty],[empty],No
Clojure,General,[empty],[empty],Yes,[empty],[empty],[empty],[empty],concurrent,No
CLU,General,Yes,Yes,[empty],Yes,Yes,[empty],[empty],[empty],No
COBOL,Application  business,Yes,Yes,[empty],Yes,[empty],[empty],[empty],[empty],ANSI X3.23 1968  1974  1985; ISO/IEC 1989:1985  2002  2014
Cobra,Application  business  general  web,Yes,Yes,Yes,[empty],Yes,Yes,[empty],[empty],No
ColdFusion (CFML),Web,[empty],Yes,[empty],Yes,[empty],[empty],[empty],[empty],No
Common Lisp,General,Yes,Yes,Yes,Yes,Yes,Yes,Yes,extensible syntax  Array-oriented  syntactic macros  multiple dispatch  concurrent,1994  ANSI
COMAL 80,Education,Yes,[empty],[empty],Yes,[empty],[empty],[empty],[empty],No
Crystal,General purpose,Yes,Yes[21],Yes,Yes,[empty],[empty],[empty],alpha stage[22],No
Cython,Application  general  numerical computing,Yes,Yes,Yes,[empty],[empty],Yes,[empty],aspect-oriented,No
D,Application  system,Yes,Yes,Yes,Yes,Yes,Yes,[empty],generative  concurrent,No
Dart,Application  web  server-side  mobile  IoT,Yes,Yes,Yes,[empty],[empty],[empty],[empty],structured,Ecma-408 standard
Dylan,Application,[empty],Yes,Yes,[empty],[empty],[empty],[empty],[empty],No
Eiffel,General  application  business  client-side  server-side  web (EWF),Yes,Yes,Yes[23][24],[empty],Yes,Yes Erl-G,Yes Agents,distributed SCOOP  Void-safe,2005  ECMA  ISO[25]
Elixir,Application  distributed,[empty],[empty],Yes,[empty],[empty],[empty],Yes,concurrent  distributed,No
Erlang,Application  distributed,[empty],[empty],Yes,[empty],[empty],[empty],Yes,concurrent  distributed,No
Euphoria,Application,[empty],[empty],[empty],Yes,[empty],Yes,[empty],[empty],No
Factor,General,Yes,[empty],can be viewed as,[empty],Yes,Yes,[empty],stack-oriented,No
FP,[empty],[empty],[empty],Yes,[empty],[empty],[empty],[empty],[empty],No
F#,Application,Yes,Yes,Yes,Yes,Yes,Yes,Yes,[empty],No
Forth,General,Yes,[empty],can be viewed as,[empty],[empty],[empty],[empty],stack-oriented,1994  ANSI
Fortran,Application  numerical computing,Yes,Yes,Yes,Yes,Yes,[empty],[empty],array-based  vectorized  concurrent  native distributed/shared-memory parallelism,1966  ANSI 66  ANSI 77  MIL-STD-1753  ISO 90  ISO 95  ISO 2003  ISO/IEC 1539-1:2010 (2008)  ISO/IEC JTC1/SC22/WG5 N2145 (2018)
FreeBASIC,Application  numerical computing,Yes,Yes,[empty],Yes,Yes,[empty],[empty],[empty],No
Gambas,Application,Yes,Yes,[empty],[empty],[empty],[empty],Yes,[empty],No
