Name,Implementation Language,Active; Passive [12],Model[12],Typical input,Other input,Typical output
XomegaNet for Visual Studio,C#  XSL  XSD,Active,Mixed,Userdefined models  XML,Templates  Import from DB,Complete Application  User Interface (HTML5  ASPNET  WPF  SPA)  Service Layer (REST  WCF)  Business Layer (EF)  DAL  DB scripts  Config files  VS project files
Acceleo,Java,Active,Tier,Userdefined EMF based models (UML  Ecore  user defined metamodels),Any EMF based input (Xtext DSLs  GMF graphical models  etc),Any textual language
Accelerator,C#,Active,Tier,Database schema,XML Schema  Templates and configuration tables,C#  WPF  ASPNET  MVC  ASPNET  WCF  WebServices(complete application)
actifsource,Java,Active,Tier,Userdefined Models,Import from UML  Ecore,Any textual language
any<code/>,Java,Active,Tier,Userdefined models,Custom templates (Groovy),Any textual language  depends on your template code Builtin directives in Java  JPA  ObjectiveC added since v120
Appsroller Web Form Generator,JavaScript,Active,Web Tier,Any code,JavaScript,[empty]
Apeel PHP Code Generator Pro,Delphi,Passive,Tier,Database schema,PHP  HTML  CSS,Full Application €“ PHP  CSS  Apeel Open Source Framework
AtomWeaver,C  Lua,Active,Tier,Tree models built using a cooperative template system  based on the ABSE modeling approach,Code in any language,Any textual language
Catapult,C#  JavaScript  HTML,Active,Web Tier,Tree models built using Catapult UI,Templates,C#  JavaScript  HTML  CSS
Celerio,Java,Active,Tier,Database schema Convention over Configuration and Configuration,Custom templates (velocity),Any textual language  but traditionally Java  HTML  XML  etc
Click2Code for windows,Visual Basic 60,Active,Mixed,Userdefined Templates,Templates,User Interface
Code4Green,C#  VBNET  ASPNET  SharePoint  SQL  JAVA  classical ASP  HTML  XML,Active,Tier,Code4Green  an online ultimate code generation tool with a green cause of plantation of trees on each 10000 LOC,Code in C#  VBNET  ASPNET  SharePoint  SQL  JAVA  classical ASP  HTML  XML,Output determined by the selected language type It is a plain text
CodeFluent Entities,C#,Active,Mixed,Userdefined models  Database schema,Templates,NET classes  Persistence layers (Microsoft SQL Server  Oracle  PostgreSQL  MySQL)  WCF Services  ASPNET websites
CodeSmith Generator,C#  VBNET  JavaScript,Active,Mixed,Database schema (ADOX  DB2 zOS  ISeries  MySQL  Oracle  Postgre  SQL Anywhere  SQL Compact  SQL Server  SQLite  VistaDB)  C# or VBNET source code  Any meta data source EG  Web Services  SharePoint  UML  XSD  XML  DBML  EDMX  JSON  HBM  HTML and more,Templates,Any textual output such as C#  VBNET  C/C  XML  SQL  JSON  JavaScript  HTML  or any other plain text format
CodeGenerator360,C#,Active,Tier,Database Schema,XML Schema,Stored procedures  NET DAL  C# ASPNET pages  Visual Studio 2010 solution and project files
CodeOnTime,C#,Active,[empty],Database Tables,Templates and Various XML configuration tables,C# ASPNET
Cog,Python,Active[13],Mixed,Any code,Java C# C C Perl Python Ruby TCL JavaScript Fortran Lisp Scheme Cobol XSLT JSP PHP Yacc SQL XML System Configuration Files,[added]
C Middleware Writer,C,Active,[empty],DSL instance / Middle file,Include files,C marshalling code
DMS Software Reengineering Toolkit,Several code generation DSLs (attribute grammars  tree patterns  sourcetosource rewrites),Active,DSLs represented as abstract syntax trees,DSL instance,Wellformed output language code fragments,Any programming language (proven for C  C  Java  C#  PHP  COBOL)
DRAKON,Tcl/Tk,Active,Tier,Userdefined flowchart model drawn in the editor,Flowchart in SQLite database in documented structure,Java  Go  D  C#  C/C (with Qt support)  Python  Tcl  JavaScript  Lua  Erlang  AutoHotkey  Verilog Extensible
EazyCode,C#  VBNET,Active,Tier,Database schema,Templates,Application and code in ASPNET  ASPNET MVC  C#  VBNET  WPF  WCF Services  SQL Query  SQL stored procedure  BAL  DAL  POCO
GenerateXY,Java,Active,Tier,Userdefined Models,XML  CSV  Java   (extensible),Any textual language  predefined modules for Java  HTML  XML
generjee,Java,Passive,Tier,Onlineeditor  userdefined models,[empty],Full Java EE Application
Genexus,Multiple languages,Active,Compenium,Complete application generator including desktop  mobile (iOS  Android  Windows) cloud  etc,KB  Libraries  iOS  Android and other library,From simple to complex applications  with business objects  rules  screen  knowledge base  with db and code choices (eg C#  Java  Ruby  etc plus management/generation Also reverse engineering for legacy upgrades
GNU AutoGen,C,Active,Tier,Autogen definitions (lists of keyvalue pairs or hierarchical data arranged like C structs)  Autogen templates (fixed output plus inline macros for conditional or repetitive emission of code blocks or evaluation of Bourne shell or Scheme expressions),XML  CGI data,Output determined by template (any language or even plain text); additional support for emitting header guards  certain licenses  option parsers  and finite state machines in C
GSL Universal Code Generator,C,Active,Tier,gsl script  XML models,[empty],Any textual language
gSOAP,C / C,[empty],[empty],WSDL specifications,[empty],C / C code that can be used to communicate with WebServices XML with the definitions obtained
Iron Speed Designer,C# / VBNET,Active,Tier,Database schema,CSS,ASPNET (Full application  including C# code  VB code  XML  stored procedures  etc)
Isis,Java pojos,Active [14],Mixed,Isis Java code Domain Design,optionally JSON (for layout hints),Java code Apache Wicket JAXRS DataNucleus Apache Shiro
J To Go,Java,Passive,Tier,Onlineeditor  userdefined models,[empty],Java with Spring backend and Angular JavaScript frontend
Jigy Generator,Java,Active,MVC,Just fill out a SIMPLE form,N/A,A Spring MVC Java web application compatible with either Eclipse or NetBeans based on the user's preferences
Jostraca,Java,Active [15],Tier,Any code,Java,Any code; Java  JSP
JCodeBox,Java,[empty],Tier,Java,[empty],Java (Full Web Application)
kiss!,C#  VBNET  SQL,Active,Mixed,Database as Data Model,Templates,C#  VBNET classes  SQL  Schema Information as comma separated values (*cs  *vb  *sql  *csv)
Linx,C#,Active,Tier,Process Design from Linx designer,,NET Process (dll) and Windows Service
Microsoft Visual Studio LightSwitch,C# / VBNET,Active,Tier,Database schema,[empty],Complete Silverlight application (Desktop or Web)
MinuteProject,Java code,Active; Passive,Mixed,Database WSDL,config  velocity files,Java code ORM entities  DAO  Webservices  Full application with proven framework stack JPA
NoORM,Java,Active,Mixed,Database schema,Templates,Java classes (Persistence layer with proxy classes for database tables and views  DML code and services for stored procedures and declared queries with support for Oracle)
OMSIce €“ T4 Text Template Generator,C#,Active,Mixed,T4 text template  C# or VB,C# partial classes,Any textual output such as C#  VB  C/C  XML  or any other plain text format
