Desktop publishing software,Developer(s),Latest stable version,Initial release,License
CorelDRAW,Corel,X8 (180) (Start date and age|2016|03|15),Start date|1989,nonfree| Commercial  proprietary
Fatpaint (Cloudbased),Mersica Inc,198 (Start date and age|2011|08|19),Start date|2010,nonfree| Freeware
Flare,MadCap Software,2019 (Start date and age|2019|03|29),Start date|2006,nonfree| Commercial  proprietary
FrameMaker,Adobe Systems,1203 (Start date and age|2014|09|25),Start date|1986,nonfree| Commercial  proprietary
InDesign,Adobe Systems,CC 2014 (100070) (Start date and age|2014|06|18),Start date|1999,nonfree| Commercial  proprietary
InPage,InPage Team,30 (Start date and age|2008),Start date|1994,nonfree| Commercial  proprietary
iStudio Publisher,iStudio Software,13 (Start date and age|2017|02|03),Start date|2009,nonfree| Commercial  proprietary
LyX,The LyX Team,230 (Start date and age|2018|03|16),Start date|1995,Free|GPL
Microsoft Publisher,Microsoft Corporation,160 (Start date and age|2015|09|22),Start date|1991,nonfree| Trialware
Apache OpenOffice Writer,Apache Software Foundation and others,411 (Start date and age|2014|08|21),Start date|2002,Free|Apache License 20 (Apache OpenOffice 34 and later)
LibreOffice,The Document Foundation,Latest stable software release/LibreOffice,Start date|2011,Free|LGPL v3
PageMaker*,Adobe Systems,702 (Start date and age|2004|03|30),Start date|1985,nonfree| Commercial  proprietary
PagePlus,Serif Europe,X9 (Start date and age|2015|11|19),Start date|1991,nonfree| Commercial  proprietary
Pages,Apple Inc,Latest stable software release/Pages,Start date|2005,nonfree| Commercial  proprietary
PageStream,Grasshopper LLC,50 (Start date and age|2005),Start date|1986,nonfree| Commercial  proprietary
QuarkXPress,Quark  Inc,2017 (Start date and age|2017|04|16),Start date|1987,nonfree| Commercial  proprietary
Ready Set Go!,Diwan Software Limited,778b (Start date and age|2009|09),Start date|1985,nonfree| Commercial  proprietary
Scribus,The Scribus Team,148 (Start date and age|2019|03|03|df=yes),Start date|2003,Free|GPL
The Print Shop,Brøderbund,230 (Start date and age|2009),Start date|1984,nonfree| Commercial  proprietary
Ventura*,Corel,100 (Start date and age|2002),Start date|1986,nonfree| Commercial  proprietary
Desktop publishing software,Developer(s),Latest stable version,Initial release,License
