Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch,Plasma Mobile,PureOS,PostmarketOS,KaiOS
Developed by,Google  Open Handset Alliance,Apple Inc.,Microsoft,BlackBerry Ltd.,Linux Foundation  Tizen Association  Samsung  Intel,Sailfish Alliance  Mer  Jolla and Sailfish community contributors,UBports and Ubuntu community contributors (previously Canonical Ltd.),KDE and Blue Systems,Purism,PostmarketOS community,KaiOS Technologies Inc.  Google[1][2]
Market share[3],86.1%,13.7%,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,N/A,?
Current version,10,13.2,10.0.15254.552,10.3.3.3216,4.0.0.4,3.2.0.12,16.04 OTA-11,5.16.4,9.0,alpha,2.6.0
Development version,Android 10,13.1 Developer Beta 4,Unknown,Unknown,5.5 M1,Unknown,Unknown,Unknown,Unknown,N/A,[empty]
Current version release dates,September 3  2019; 2 months ago (2019-09-03),September 19  2019; 55 days ago (2019-09-19),February 12  2019; 9 months ago (2019-02-12)[4][5][6],April 4  2018; 19 months ago (2018-04-04),November 16  2018; 11 months ago (2018-11-16),November 6  2019; 7 days ago (2019-11-06)[7],October 23  2019; 21 days ago (2019-10-23)[8],July 30  2019; 3 months ago (2019-07-30)[9],26 September 2019; 48 days ago (2019-09-26)[10],[empty],[empty]
License,Base system is Free and open-source  but usually bundled with proprietary apps and drivers  which provide an increasing amount of the functionality.[11],Proprietary,Proprietary except for open source components,Proprietary  Commercial software,Partial; both proprietary and open-source components  assorted licenses,Free and open-source  but the UI and the SDK are proprietary and closed source,Free and open-source  mainly the GPL[12],Free and open-source  mainly the GPL,Free and open-source  mainly the GPL,Free and open-source  GPL,Proprietary except for open source kernel patches (formerly the MPL 2.0 B2G OS)
OS family,Linux kernel based,Darwin,Microsoft Windows,QNX,Linux,Linux,Linux,Linux,Linux (based on Debian),Linux (based on Alpine Linux),Unix-based
Supported CPU architecture,ARM (32-bit ARMv7-A and 64-bit ARMv8-A only)  x86  x86-64[13],64-bit ARMv8-A only,32-bit ARMv7-A and 32-bit ARMv8-A,ARM,ARM  x86  x86-64,ARM  x86-64,ARM  x86-64,ARM  ?,Convergence operating system,ARM  ARM64  x86  x86-64,ARM
Programmed in,C  C++  Java  Kotlin,C  C++  Objective-C  Swift,7+: XNA (.NET C#)  Silverlight  native C/C++ (only for vendors and partners[14]) 8+: .NET C#  VB.NET  Silverlight  native C/C++  WinRTP (XMLA)  DirectX,C/ C++: Native SDK  C++/Qt: Cascades SDK  HTML5/Javascript/CSS: Webworks SDK  ActionScript: Adobe AIR  Java: Android runtime,C++  Xamarin.Forms (.NET C#  F#  VB[15]),C++  QML  Python,Apps: HTML5  QML  Go  JavaScript  C++ System: C  C++  QML,C++  QML,[empty],Python install tool and shell script packages,[empty]
Public issues list,Yes[16],3rd party[17],No[18],Yes[19],Yes[20],Yes[21],Yes[22],Yes[23],Yes[24],Yes[25],No[citation needed]
DRM-free[26],No[27] since Android 4.1[28] and Android 4.3[29] and more restrictions on Android 4.4[30],No – FairPlay,No,No[31],Yes,Yes,Yes,Yes[citation needed],Yes[citation needed],Yes,?
Device independent system updates,Partial system updates since Oreo[32] 3rd party software like LineageOS[33],Yes[34],Partial on Enterprice edition. Only for developers,No,No,Yes,Yes[35],[empty],[empty],Yes.[36] Intended for use on old mobile devices,For feature phones  not smart phones
Wireless system updates,Yes,5+[37],8+[38],Yes[39],No,Yes,Yes,[empty],[empty],[empty],[empty]
GPU accelerated GUI,3+[40],Yes,Yes[41],Yes  OS 7.0+,?,Yes,Yes,[empty],[empty],[empty],[empty]
Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch,Plasma Mobile,PureOS,PostmarketOS,KaiOS
Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch
While-in-use permissions,10+,11+: Location only[42],No,No,No,No,Yes
Per-app Internet access,No [43] 3rd party software[44],7+: Cellular only;[45] 3rd party software on jailbroken devices[46],No,Yes[47],No,No,No
Per-app identity access,8+[48],6+[49][50],No,Yes,No,No,Yes
Per-app user data access,6+[51],6+[52],8.1update2+[53],Yes[47],No,No,Yes
Per-app background execution,No [54] 3rd party apps available[55],7+[56],Yes[57],10.2.1+[58],No,No,Background execution not allowed
Per-app notifications,4.1+[59],5+[60][61],8.1+[62],10+,No,No,Yes
Per-app location access,6+[51],4+[63],10+[64],Yes[47],No,No,Yes
Per-app camera access,6+[51],8+[65],8.1update2+[53],Yes[47],No,No,Yes
Per-app microphone access,6+[51],7+[66],8.1update2+[53],Yes[47],No,No,Yes
Per-app shared files access,6+[51],8+[67],No,Yes[47],No,No,Yes
Per-app network data usage auditing,4+[68],Yes[69],8 GDR2+ Data Sense[70] or Nokia Counters in 7.5+[71],Yes[72],?,No[73],No
Fine grained storage usage,Yes[74],5+[75],8 GDR3+[76],10.2.1+,?,No,Yes
Parental controls,4.3+ or 3rd party software[77],Yes[78],8+[79],7.1+[80],?,No,No
Screen orientation lock,Yes[81],Yes[82],8 GDR3+[83],10+[84],?,1.0.4.1+[85],Yes
File manager,6.0+[86],11+[87],8.1+[88],10+[89],3rd party software[90],Yes[91],Yes
File manager write access to external storage,6+ Or 3rd party software like LineageOS,3rd party software and external storage[92],Yes,Yes,Yes,Yes,Yes
Multi-user,4.2+  including phones 5+[93][94],9.3+: Education use only on iPad[95],No,No,No,No,No
Guest mode,5+[96],6+[97],No  Kid's Corner removed on Windows 10 Mobile Anniversary Update  Apps Corner is removed on Creators Update[98],No,No,No,No
Do not disturb mode,5+[99],6+[100],8.1+[101],Yes,No,No,No
App groups,Yes,4+[102],8.1 Update+,Yes[103],?,1.0.7.16+[104],Yes
Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch
System wide base text size,Yes,Yes[105][106][107],Yes,Yes[108],?,2.1.0+: Set text size[109],?
Monaural output,Yes,Yes,No,No,No,No,No
Always visible scrollbar,No,No,No,No,No,No,No
Reduced Animations,Yes,Yes,No,No,No,No,No
Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch
Official app store,Google Play,App Store,Microsoft Store,BlackBerry World  Amazon Appstore[110],Tizen Store,Jolla Store,OpenStore
Non-discriminatory stores,No  Some apps like Ad blockers are censored on Google Play[111][112] but developers can distribute apps from their own sources,No  Apple discriminates based on country[113] and own Apple policies[114],No  Discriminates by country [115] manufacturer[116] and type of application[117],3rd party software,?,Openrepos.[118] Developers can distribute apps from their own sources  supports multiple app stores,?
Common APIs for smartphones  tablets  and PCs,Yes[119],Smartphone and tablet only[120],8.1+[121],No,No,Yes,Yes
Official SDK platform(s),Linux  macOS and Windows[122],macOS using iOS SDK,Windows[123],Windows  macOS [124] Linux (only Native SDK for 10+)[125],GNU/Linux  Windows  macOS[126],Windows  macOS and Linux[127],Yes
Cost to develop for the mobile OS,Free,Free with Xcode 7+[128],Free[129],Free,Free,Free,Free
Cost to publish app to official store,US$25 once to offer it on Google Play[130],US$99/year,US$19  once  for an individual; and $99 for a company account.[131] Students can get a token for an individual account (1 token for 365 days) which gives free access to Windows Store/Phone Dev Center for 12 months.[132],Free,Free,Free[133],Free
Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch
Cut  copy  and paste,Yes[134],3+[135],Yes[136],Yes,Yes[137],Yes,Yes
Multi-Device clipboard,No,10+[138],No  3rd party software[139],No,No,No,No
Undo,No[140],3+[141],Optional for developers  UWP API have this feature[142][143],No,No,No[144],Yes
Custom home and lock screen wallpaper,Yes,4+[82],Yes,Yes,Yes,Yes (incl. Ambience),Yes
Desktop sync,No [145] but available using the vendor's companion/PC suite application such as Samsung Smart Switch & HTC Sense[146],Yes,Yes,Yes,Yes,?,Yes
Local full backup,Yes  via external computer[147],Yes  using external computer[148],3rd party software  like WP internals on external computer  officially removed in WP8 [149] was available on WP7 in Zune only when performing update  or anytime via 3rd party software[150][151],Yes  using external computer[152] and memory card (7+)[153],No[154],Yes,Yes
Core data missing sync,Bookmarks[155] (before 4)  SMSs and Settings[156],[empty],Favorites [157] Text Messages[158] and Settings[159],?,?,?,?
Notification center,Yes,5+[160],8.1+[101],6+[161],2+[162],Yes,Yes
Push notifications,Yes[163],Yes (Apple Push Notification Service),Yes[164],Yes,2+[165],Yes,Yes
Screenshot,4+ also available on earlier versions with customized firmware  such as Cyanogen Mod and on older Samsung Galaxy smartphones[166],Yes[82][167],8+[168],10+[169],Yes,2.0.2+[170],Yes
iCalendar import,No [171] but 3rd party app available[172],Yes[173],3rd party software (only import not subscribe)[174],Yes[175],?,1.1.6.27+[176],No
Text/document support (read only; creating using third party apps),Microsoft Office  PDF  TXT/RTF,Microsoft Office [177][178][179] iWork  PDF  Images  TXT/RTF  VCF,Microsoft Office 2003/2007  PDF  Images  TXT/RTF,Microsoft Office  PDF  OpenDocument  TXT,Read only: text files  PDF  HTML  Multiple office formats,Microsoft Office  OpenDocument  PDF  Text,Yes
Printer support,4.4+ using Google Cloud Print[180] but not over USB unless proprietary vendor solutions such as HP Print Service are used[181],Yes (AirPrint)[182],10+[183],Yes,No,?,Beta
Show remembered Wi-Fi connections,Yes,No  3rd party software on jailbroken devices[184],Yes,Yes,?,Yes,Yes
Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch
Default web browser/engine,Blink,WebKit,Trident (EdgeHTML after 10),WebKit,WebKit,Gecko[185],QtWebEngine (based on Blink)
Major web browser available,Chrome for Android  Opera  Firefox  Microsoft Edge,Safari  Chrome for iOS  Opera Mini  Firefox  Microsoft Edge,Internet Explorer  Opera Mini  UC Browser  Microsoft Edge,BlackBerry 10 Browser  Opera Mini  Opera,Tizen Browser (Based on UC Browser),Sailfish Browser (Firefox)  Webcat (WebKit)  Web Pirate (WebKit)  others via Android (Firefox  Chrome  Opera),Morph Browser
Browser extensions,No[186] 3rd party software[187],8+[188],No  3rd party software[189],No,No,No,No
Browser direct Internet connection (increased resilience to outages),Yes,Yes,Yes,10+ [190] 7.1 and older route through BlackBerry Internet Service  direct browsing supported over WiFi,Yes,?,?
Browser undo close tab,Google Chrome for Android[191],8+[192],No  3rd party software[193],No,No,No,No
Browser keeps windows open on shutdown or crash,2.3+ Google Chrome[194] but not on the deprecated AOSP browser[195],Yes,Yes,10+ Opens dialog for choosing which websites to restore after crash  option to restore all sites after restart,No,Yes,Yes
Browser keeps windows open when cleaning cookies,Yes,3rd party software[196],Yes,Yes,?,Yes,Yes
Browser search engine options,Many[197],Bing  Google  Yahoo! Search  DuckDuckGo,Bing  Google support removed on some markets on 8.1 GDR1+[198] W10M: Many,Bing  Google  Yahoo  User Defined,Bing  Google  Yahoo! Search,Bing  Google  Yahoo  Yandex. Baidu  DuckDuckGo  StartPage  Searx  ixquick  Swisscows  Qwant  Seznam  Hulbee via openrepos[199],[added]
Browser find on page,1.5+[200],4.2+[201],8+[202],Yes[203],Yes,1.1.2.16+[204],Yes
Browser/email save images,Yes,Yes[205],Yes[206],Yes,?,Yes,Yes
Browser/email save PDFs,Yes,Yes[82],Yes[207],Yes,Yes,Yes,Yes
Browser save audio/video,Yes  but only links  not embedded media,13+;[208] 5+: 3rd party software[209],8.1+[210],Yes (embedded media not supported),Yes,Yes,Yes
Browser save page,Yes  Google Chrome 55+[211],6+: Offline Reading List;[212] 3rd party software[213],10+[214],Yes[215],Yes,?,Yes
Browser save any file,Yes  Chrome for Android.,13+;[208] 5+: When an app that can handle/open the filetype is installed (excluding audio/video – requires 3rd party software[216]);[217],8.1+[210],10+,?,Yes,Yes
Browser force enable zoom,No  not working anymore on Android 4.4[218],Yes[219],Yes  via accessibility settings,Yes via accessibility settings,?,?,?
Browser text reflow[220],No  removed on Android 4.4[221][222],5+: Only on pages with reader mode available[223][224] 3rd party browsers on prior versions[225],Only on pages available on reading view on 8.1+,Yes[226] 10+ Only in reader mode,No,No,No
Browser Reader Mode,No [227] 3rd party software[228][229],5+[223][224],8.1+[230],10+[231],Yes,No[232],No
Browser file upload,2.2+[233],9+; 6–8: Limited,Yes,4.2+[234],Yes,1.0.7.16+[235],Yes
Browser form navigation,Next button[236],Previous  Next  AutoFill  and Done buttons[237],Yes,Yes[234],?,?,?
Browser private browsing mode,3.0+ with AOSP browser[238] or with Chrome for Android,5+[239],8.1+[101],10+[240],Yes,1.1.6.27+[241],Yes
Offline web apps,Yes[242],Yes[243][244][245],?,?,No,?,Yes
