Client,Author/Developer,Operating system,Software license,User Interface
Alpine,University of Washington,Crossplatform,free|Apache License 20,TUI
Apple Mail,Apple,macOS  iOS  watchOS,Proprietary,GUI (Cocoa)
Balsa,Stuart Parmenter,Linux,free|GNU General Public License,GUI (GTK)
Becky! Internet Mail,Rimarts,Windows,Proprietary,GUI
BlitzMail,Dartmouth College,[empty],free|BSD licenses,GUI
Citadel,citadelorg,Unixlike,free|GNU General Public License,Webmail
Claws Mail,the Claws Mail team,Crossplatform,free|GNU General Public License,GUI (GTK)
Cone,Courier Mail Server developers,Unixlike,free|GNU General Public License,TUI
Courier (formerly Calypso),Micro Computer Systems  Inc  continued by Rose City Software,Windows,proprietary,GUI
Elm,Dave D Taylor  Sydney Weinstein  Bill Pemberton  Michael Elkins  Kari Hurtta,Unixlike,free[1],TUI
eM Client,eM Client Inc,Windows,proprietary,GUI
EmailTray,Internet Promotion Agency SA,Windows  Android,proprietary,GUI
Eudora OSE,Qualcomm,Windows  macOS,free,GUI
Eureka Email,Sean O'Connor,Windows,proprietary,GUI
Evolution,The GNOME Project,Unixlike,free|GNU General Public License,GUI (GTK)
FirstClass,Open Text,[empty],proprietary,GUI
Forté Agent,Mark Sidell,Windows,proprietary,GUI
Geary,Yorba Foundation,Unixlike,free|GNU LGPL v21,GUI (GTK)
GNUMail,Ludovic Marcotte and others,Unixlike  macOS,free|GNU General Public License,GUI
Gnus,Gnus team,Crossplatform,free|GNU General Public License,TUI and GUI
GroupWise,Micro Focus (formerly Novell),Crossplatform,proprietary,GUI
Hiri,Hiri,Crossplatform,proprietary,GUI
iScribe  InScribe,Memecode,Windows  macOS  Linux,proprietary,GUI
IBM Notes (formerly IBM Lotus Notes),IBM Collaboration Solutions (formerly Lotus Software)  IBM,Windows  macOS  Linux,proprietary,GUI (Notes)  Web (iNotes) and Mobile (Traveler)
IMP,Horde LLC,Crossplatform,free|GNU General Public License,Webmail
K9 Mail,K9 Dog Walkers cketti  et al,Android,free|Apache License 20,GUI
KMail,KDE,Crossplatform,free|GNU General Public License,GUI (Qt)
Mailbird,Mailbird,Windows,proprietary,GUI
Mailpile,Mailpile,Linux  Windows  macOS,free|Affero General Public License and Apache License 20,Webmail
mailx,dunno,Unixlike,free|BSD Licenses,TUI
Microsoft Entourage,Microsoft,macOS,proprietary,GUI
Microsoft Outlook,Microsoft,Windows  macOS,proprietary,GUI
Mozilla Mail & Newsgroups,Mozilla Foundation,[empty],free|Mozilla Public License,GUI (XUL)
Mozilla Thunderbird,Mozilla Foundation,Crossplatform,free|Mozilla Public License,GUI (XUL)
Mulberry,Cyrus Daboo (formerly Cyrusoft International  Inc/ISAMET),Crossplatform,free|Apache License 20,GUI
Mutt,Michael Elkins,Crossplatform,free|GNU General Public License,TUI (ncurses)
Netscape Messenger,Netscape Communications,[empty],?,GUI
Netscape Messenger 9,Netscape Communications,[empty],free|Mozilla Public License,GUI
Nylas Mail,Nylas,macOS  Linux  Windows,free|MIT,GUI
nmh / MH,RAND Corporation,Unixlike,free|BSD Licenses,CLI
Opera Mail,Opera Software,Crossplatform,proprietary,GUI
Outlook Express,Microsoft,Windows,proprietary,GUI
Pegasus Mail,David Harris,Windows,proprietary,GUI
Pine,University of Washington,Crossplatform,free[2],TUI
Pocomail,Poco Systems,Windows,proprietary,GUI
RoundCube,The RoundCube Team,Crossplatform,free|GNU General Public License,Webmail
SeaMonkey Mail & Newsgroups,SeaMonkey Council,Crossplatform,free|Mozilla Public License,GUI (XUL)
Spark,Readdle,macOS,proprietary,GUI
Spicebird,Synovel,Windows  Linux  BSD,free|Mozilla Public License,GUI (XUL)
SquirrelMail,The SquirrelMail Project Team,Crossplatform,free|GNU General Public License,Webmail
Sylpheed,Hiroyuki Yamamoto,Crossplatform,free|GNU General Public License,GUI (GTK)
The Bat!,RitLabs,Windows,proprietary,GUI
Trojitá,KDE,Crossplatform,free|GNU General Public License,GUI (Qt)
Turnpike,Thus PLC (Demon Internet),Windows,proprietary,GUI
Windows Live Mail,Microsoft,Windows,proprietary,GUI
Windows Mail,Microsoft,Windows,proprietary,GUI
YAM,YAM Open Source Team and contributing authors,AmigaOS,free|GNU General Public License,GUI
Zimbra Desktop,Zimbra,Crossplatform,free|Mozilla Public License for server and ZPL for client,GUI
Client,Author/Developer,Operating system,Software license,User interface
