Systems,Creator,Last Stable Version,Release Date,License,Implementation language(s),Server Operating System,Database backend,First Release Date
Act! CRM,Pat Sullivan and Mike Muhney,211,May 2019,SaaS or Proprietary,C#  NET,Windows  Web  iOS  Android,MS SQL,1987
Adempiere,Jorg Janke,[empty],[empty],GPLv2,Java,Windows  Linux  Unix  Mac,[empty],2006
Base CRM,Base CRM,2016,2009,SaaS,Ruby on Rails  Python,Cloud Computing  iOS  Android  Windows Phone,MySQL,2009
Capsule (CRM),Zestia Ltd,2019,2009,SaaS,Java  Scala and JavaScript,Web  iOS  Android,MySQL,2009
CiviCRM,Dave Greenberg  Donald Lobo  Michal Mach,5110,2019 March 7,AGPLv3,PHP 56x  7x,Crossplatform,MySQL & MariaDB,2004
Dolibarr,Rodolphe Quiedeville  Laurent Destailleur,70,2018,GPLv3 or SaaS,PHP 53x,Crossplatform,MySQL or PostgreSQL,2003
Dynamics CRM,Microsoft,Dynamics 365 91,July 2019,Proprietary or SaaS,NET  ASPNET,Windows,MS SQL,2003
Epesi CRM,Telaxus LLC,180,2016 September 26,MIT,PHP 5x,Crossplatform,MySQL  PostgreSQL  AdoDB  others,2006
GNU Enterprise,FSF,[empty],[empty],GPLv3,Python,Linux  Unix  Mac OS X  Windows,Firebird/Interbase  MySQL  MaxDB  MS ADO (MS SQLServer/MS Access)  Oracle  PostgreSQL  SQLite  SQLite3  CSV files DBF files (DBase  XBase etc)  INI style configuration files,2003
GroupOffice,Intermesh BV,624,2016,AGPLv3  SaaS and proprietary,PHP/JavaScript,Windows  Linux  Unix  Mac OS,MySQL,2003
HubSpot CRM Free,HubSpot,N/A,N/A,SaaS[1],Java [2],Cloud computing,HBase,2014[3]
Neolane,Adobe,v6,2012,Proprietary or SaaS,C  JavaScript,Windows  Linux,MS SQL  Oracle  PostgreSQL  MySQL,2001
Nutshell CRM,Nutshell CRM,2017,2017,SaaS,PHP,Web  iOS  Android,MySQL,2010
Pega CRM[4],Chordiant,?,?,Proprietary,?,Windows  Linux  Mac  web browser,?,?
Pipedrive,Pipedrive,2018,2018,SaaS,JavaScript  PHP,Web  iOS  Android,MySQL,2011
Pivotal CRM,Aptean,66,January 2019,Proprietary,NET,Windows,MS SQL  Oracle,1996
Really Simple Systems,Really Simple Systems,2016,2006,SaaS,VBScript  JavaScript  ASP,Cloud Computing,MySQL,2006
SageCRM,Sage Group,Sage CRM 2019 R1,February 2019,Proprietary or SaaS,ASPNET  ASP,Windows,MS SQL  ORACLE  DB2,1981
Salesbox CRM,Salesbox CRM,2019,2019,SaaS,JS  React,Web  iOS  Android,PostgreSQL,2014
Salesforcecom,Marc Benioff,Summer '19,June 2019,Proprietary,APEX (Proprietary Language Javalike),Cloud Computing,Proprietary,1999
SAP CRM,SAP SE,70 EHP4 SP11,2018,Proprietary,ABAP,Windows  Linux  Unix,SAP HANA  MS SQL  Oracle,2000
SAP Cloud for Customer,SAP SE,1811,2018,Proprietary,ABAP,Linux,SAP HANA,2009
Streak,Aleem Mawani  Omar Ismail,[empty],[empty],Proprietary,Java,Windows  Mac,Google App Engine,2012
SugarCRM,John Roberts  Clint Oram  Jacob Taylor,901[5],June 2019,Proprietary or SaaS,PHP,Crossplatform,MySQL  Microsoft SQL Server  IBM DB2  and Oracle (IBM DB2 and Oracle only available for Sugar Enterprise edition),2004
SuiteCRM,SalesAgility,7116,July 2019,AGPLv3,PHP,Crossplatform,MariaDB  MySQL  Microsoft SQL Server,2013
SuperOffice CRM,SuperOffice,75,2014,Proprietary,C C# and ASPNET,Windows,SQL Server,1990
TeamLab,Ascensio System SIA,[empty],2011,GPLv3  SaaS,ASPNET,Windows,Microsoft SQL Server  Amazon Server,2010
Tryton,Tryton,40,2016 April,GPLv3,Python  JavaScript,Crossplatform,PostgreSQL  MySQL  SQLite,2008
WORKetc,Daniel Barnett,v40,2013,SaaS,C#  NET,Windows,Microsoft SQL Server  Amazon Server,2009
Zoho CRM,Zoho CRM,Zoho CRM 2018,2018,SaaS,Java,Cloud Computing  Cross Platform,Proprietary,1999
